time_s,current_A,heat_per_cell_W
473.6368,15.0000,4.5000
474.0870,15.0000,4.5000
474.5373,15.0000,4.5000
474.9875,15.0000,4.5000
475.4377,15.0000,4.5000
475.8879,15.0000,4.5000
476.3382,15.0000,4.5000
476.7884,15.0000,4.5000
477.2386,15.0000,4.5000
477.6888,15.0000,4.5000
478.1391,15.0000,4.5000
478.5893,15.0000,4.5000
479.0395,15.0000,4.5000
479.4897,15.0000,4.5000
479.9400,15.0000,4.5000
480.3902,15.0000,4.5000
480.8404,15.0000,4.5000
481.2906,15.0000,4.5000
481.7409,15.0000,4.5000
482.1911,15.0000,4.5000
482.6413,15.0000,4.5000
483.0915,15.0000,4.5000
483.5418,15.0000,4.5000
483.9920,15.0000,4.5000
484.4422,15.0000,4.5000
484.8924,15.0000,4.5000
485.3427,15.0000,4.5000
485.7929,15.0000,4.5000
486.2431,15.0000,4.5000
486.6933,15.0000,4.5000
487.1436,15.0000,4.5000
487.5938,15.0000,4.5000
488.0440,15.0000,4.5000
488.4942,15.0000,4.5000
488.9445,15.0000,4.5000
489.3947,15.0000,4.5000
489.8449,15.0000,4.5000
490.2951,15.0000,4.5000
490.7454,15.0000,4.5000
491.1956,15.0000,4.5000
491.6458,15.0000,4.5000
492.0960,15.0000,4.5000
492.5463,15.0000,4.5000
492.9965,15.0000,4.5000
493.4467,15.0000,4.5000
493.8969,15.0000,4.5000
494.3472,15.0000,4.5000
494.7974,15.0000,4.5000
495.2476,15.0000,4.5000
495.6978,15.0000,4.5000
496.1481,15.0000,4.5000
496.5983,15.0000,4.5000
497.0485,15.0000,4.5000
497.4987,15.0000,4.5000
497.9490,15.0000,4.5000
498.3992,15.0000,4.5000
498.8494,15.0000,4.5000
499.2996,15.0000,4.5000
499.7499,15.0000,4.5000
500.2001,15.0000,4.5000
500.6503,15.0000,4.5000
501.1006,15.0000,4.5000
501.5508,15.0000,4.5000
502.0010,15.0000,4.5000
502.4512,15.0000,4.5000
502.9015,15.0000,4.5000
503.3517,15.0000,4.5000
503.8019,15.0000,4.5000
504.2521,15.0000,4.5000
504.7024,15.0000,4.5000
505.1526,15.0000,4.5000
505.6028,15.0000,4.5000
506.0530,15.0000,4.5000
506.5033,15.0000,4.5000
506.9535,15.0000,4.5000
507.4037,15.0000,4.5000
507.8539,15.0000,4.5000
508.3042,15.0000,4.5000
508.7544,15.0000,4.5000
509.2046,15.0000,4.5000
509.6548,15.0000,4.5000
510.1051,15.0000,4.5000
510.5553,15.0000,4.5000
511.0055,15.0000,4.5000
511.4557,15.0000,4.5000
511.9060,15.0000,4.5000
512.3562,15.0000,4.5000
512.8064,15.0000,4.5000
513.2566,15.0000,4.5000
513.7069,15.0000,4.5000
514.1571,15.0000,4.5000
514.6073,15.0000,4.5000
515.0575,15.0000,4.5000
515.5078,15.0000,4.5000
515.9580,15.0000,4.5000
516.4082,15.0000,4.5000
516.8584,15.0000,4.5000
517.3087,15.0000,4.5000
517.7589,15.0000,4.5000
518.2091,15.0000,4.5000
518.6593,15.0000,4.5000
519.1096,15.0000,4.5000
519.5598,15.0000,4.5000
520.0100,15.0000,4.5000
520.4602,15.0000,4.5000
520.9105,15.0000,4.5000
521.3607,15.0000,4.5000
521.8109,15.0000,4.5000
522.2611,15.0000,4.5000
522.7114,15.0000,4.5000
523.1616,15.0000,4.5000
523.6118,15.0000,4.5000
524.0620,15.0000,4.5000
524.5123,15.0000,4.5000
524.9625,15.0000,4.5000
525.4127,15.0000,4.5000
525.8629,15.0000,4.5000
526.3132,15.0000,4.5000
526.7634,15.0000,4.5000
527.2136,15.0000,4.5000
527.6638,15.0000,4.5000
528.1141,15.0000,4.5000
528.5643,15.0000,4.5000
529.0145,15.0000,4.5000
529.4647,15.0000,4.5000
529.9150,15.0000,4.5000
530.3652,15.0000,4.5000
530.8154,15.0000,4.5000
531.2656,15.0000,4.5000
531.7159,15.0000,4.5000
532.1661,15.0000,4.5000
532.6163,15.0000,4.5000
533.0665,15.0000,4.5000
533.5168,15.0000,4.5000
533.9670,15.0000,4.5000
534.4172,15.0000,4.5000
534.8674,15.0000,4.5000
535.3177,15.0000,4.5000
535.7679,15.0000,4.5000
536.2181,15.0000,4.5000
536.6683,15.0000,4.5000
537.1186,15.0000,4.5000
537.5688,15.0000,4.5000
538.0190,15.0000,4.5000
538.4692,15.0000,4.5000
538.9195,15.0000,4.5000
539.3697,15.0000,4.5000
539.8199,15.0000,4.5000
540.2701,15.0000,4.5000
540.7204,15.0000,4.5000
541.1706,15.0000,4.5000
541.6208,15.0000,4.5000
542.0710,15.0000,4.5000
542.5213,15.0000,4.5000
542.9715,15.0000,4.5000
543.4217,15.0000,4.5000
543.8719,15.0000,4.5000
544.3222,15.0000,4.5000
544.7724,15.0000,4.5000
545.2226,15.0000,4.5000
545.6728,15.0000,4.5000
546.1231,15.0000,4.5000
546.5733,15.0000,4.5000
547.0235,15.0000,4.5000
547.4737,15.0000,4.5000
547.9240,15.0000,4.5000
548.3742,15.0000,4.5000
548.8244,15.0000,4.5000
549.2746,15.0000,4.5000
549.7249,15.0000,4.5000
550.1751,15.0000,4.5000
550.6253,15.0000,4.5000
551.0755,15.0000,4.5000
551.5258,15.0000,4.5000
551.9760,15.0000,4.5000
552.4262,15.0000,4.5000
552.8764,15.0000,4.5000
553.3267,15.0000,4.5000
553.7769,15.0000,4.5000
554.2271,15.0000,4.5000
554.6773,15.0000,4.5000
555.1276,15.0000,4.5000
555.5778,15.0000,4.5000
556.0280,15.0000,4.5000
556.4782,15.0000,4.5000
556.9285,15.0000,4.5000
557.3787,15.0000,4.5000
557.8289,15.0000,4.5000
558.2791,15.0000,4.5000
558.7294,15.0000,4.5000
559.1796,15.0000,4.5000
559.6298,15.0000,4.5000
560.0800,15.0000,4.5000
560.5303,15.0000,4.5000
560.9805,15.0000,4.5000
561.4307,15.0000,4.5000
561.8809,15.0000,4.5000
562.3312,15.0000,4.5000
562.7814,15.0000,4.5000
563.2316,15.0000,4.5000
563.6818,15.0000,4.5000
564.1321,15.0000,4.5000
564.5823,15.0000,4.5000
565.0325,15.0000,4.5000
565.4827,15.0000,4.5000
565.9330,15.0000,4.5000
566.3832,15.0000,4.5000
566.8334,15.0000,4.5000
567.2836,15.0000,4.5000
567.7339,15.0000,4.5000
568.1841,15.0000,4.5000
568.6343,15.0000,4.5000
569.0845,15.0000,4.5000
569.5348,15.0000,4.5000
569.9850,15.0000,4.5000
570.4352,15.0000,4.5000
570.8854,15.0000,4.5000
571.3357,15.0000,4.5000
571.7859,15.0000,4.5000
572.2361,15.0000,4.5000
572.6863,15.0000,4.5000
573.1366,15.0000,4.5000
573.5868,15.0000,4.5000
574.0370,15.0000,4.5000
574.4872,15.0000,4.5000
574.9375,15.0000,4.5000
575.3877,15.0000,4.5000
575.8379,15.0000,4.5000
576.2881,15.0000,4.5000
576.7384,15.0000,4.5000
577.1886,15.0000,4.5000
577.6388,15.0000,4.5000
578.0890,15.0000,4.5000
578.5393,15.0000,4.5000
578.9895,15.0000,4.5000
579.4397,15.0000,4.5000
579.8899,15.0000,4.5000
580.3402,15.0000,4.5000
580.7904,15.0000,4.5000
581.2406,15.0000,4.5000
581.6908,15.0000,4.5000
582.1411,15.0000,4.5000
582.5913,15.0000,4.5000
583.0415,15.0000,4.5000
583.4917,15.0000,4.5000
583.9420,15.0000,4.5000
584.3922,15.0000,4.5000
584.8424,15.0000,4.5000
585.2926,15.0000,4.5000
585.7429,15.0000,4.5000
586.1931,15.0000,4.5000
586.6433,15.0000,4.5000
587.0935,15.0000,4.5000
587.5438,15.0000,4.5000
587.9940,15.0000,4.5000
588.4442,15.0000,4.5000
588.8944,15.0000,4.5000
589.3447,15.0000,4.5000
589.7949,15.0000,4.5000
590.2451,15.0000,4.5000
590.6953,15.0000,4.5000
591.1456,15.0000,4.5000
591.5958,15.0000,4.5000
592.0460,15.0000,4.5000
592.4962,15.0000,4.5000
592.9465,15.0000,4.5000
593.3967,15.0000,4.5000
593.8469,15.0000,4.5000
594.2971,15.0000,4.5000
594.7474,15.0000,4.5000
595.1976,15.0000,4.5000
595.6478,15.0000,4.5000
596.0980,15.0000,4.5000
596.5483,15.0000,4.5000
596.9985,15.0000,4.5000
597.4487,15.0000,4.5000
597.8989,15.0000,4.5000
598.3492,15.0000,4.5000
598.7994,15.0000,4.5000
599.2496,15.0000,4.5000
599.6998,15.0000,4.5000
600.1501,15.0000,4.5000
600.6003,15.0000,4.5000
601.0505,15.0000,4.5000
601.5008,15.0000,4.5000
601.9510,15.0000,4.5000
602.4012,11.9910,2.8757
602.8514,8.6143,1.4841
603.3017,5.2376,0.5487
603.7519,1.8609,0.0693
604.2021,0.0000,0.0000
604.6523,0.0000,0.0000
605.1026,0.0000,0.0000
605.5528,0.0000,0.0000
606.0030,0.0000,0.0000
606.4532,0.0000,0.0000
606.9035,0.0000,0.0000
607.3537,0.0000,0.0000
607.8039,0.0000,0.0000
608.2541,0.0000,0.0000
608.7044,0.0000,0.0000
609.1546,0.0000,0.0000
609.6048,0.0000,0.0000
610.0550,0.0000,0.0000
610.5053,0.0000,0.0000
610.9555,0.0000,0.0000
611.4057,0.0000,0.0000
611.8559,0.0000,0.0000
612.3062,0.0000,0.0000
612.7564,0.0000,0.0000
613.2066,0.0000,0.0000
613.6568,0.0000,0.0000
614.1071,0.0000,0.0000
614.5573,0.0000,0.0000
615.0075,0.0000,0.0000
615.4577,0.0000,0.0000
615.9080,0.0000,0.0000
616.3582,0.0000,0.0000
616.8084,0.0000,0.0000
617.2586,0.0000,0.0000
617.7089,0.0000,0.0000
618.1591,0.0000,0.0000
618.6093,0.0000,0.0000
619.0595,0.0000,0.0000
619.5098,0.0000,0.0000
619.9600,0.0000,0.0000
620.4102,0.0000,0.0000
620.8604,0.0000,0.0000
621.3107,0.0000,0.0000
621.7609,0.0000,0.0000
622.2111,0.0000,0.0000
622.6613,0.0000,0.0000
623.1116,0.0000,0.0000
623.5618,0.0000,0.0000
624.0120,0.0000,0.0000
624.4622,0.0000,0.0000
624.9125,0.0000,0.0000
625.3627,0.0000,0.0000
625.8129,0.0000,0.0000
626.2631,0.0000,0.0000
626.7134,0.0000,0.0000
627.1636,0.0000,0.0000
627.6138,0.0000,0.0000
628.0640,0.0000,0.0000
628.5143,0.0000,0.0000
628.9645,0.0000,0.0000
629.4147,0.0000,0.0000
629.8649,0.0000,0.0000
630.3152,0.0000,0.0000
630.7654,0.0000,0.0000
631.2156,0.0000,0.0000
631.6658,0.0000,0.0000
632.1161,0.0000,0.0000
632.5663,0.0000,0.0000
633.0165,0.0000,0.0000
633.4667,0.0000,0.0000
633.9170,0.0000,0.0000
634.3672,0.0000,0.0000
634.8174,0.0000,0.0000
635.2676,0.0000,0.0000
635.7179,0.0000,0.0000
636.1681,0.0000,0.0000
636.6183,0.0000,0.0000
637.0685,0.0000,0.0000
637.5188,0.0000,0.0000
637.9690,0.0000,0.0000
638.4192,0.0000,0.0000
638.8694,0.0000,0.0000
639.3197,0.0000,0.0000
639.7699,0.0000,0.0000
640.2201,0.0000,0.0000
640.6703,0.0000,0.0000
641.1206,0.0000,0.0000
641.5708,0.0000,0.0000
642.0210,0.0000,0.0000
642.4712,0.0000,0.0000
642.9215,0.0000,0.0000
643.3717,0.0000,0.0000
643.8219,0.0000,0.0000
644.2721,0.0000,0.0000
644.7224,0.0000,0.0000
645.1726,0.0000,0.0000
645.6228,0.0000,0.0000
646.0730,0.0000,0.0000
646.5233,0.0000,0.0000
646.9735,0.0000,0.0000
647.4237,0.0000,0.0000
647.8739,0.0000,0.0000
648.3242,0.0000,0.0000
648.7744,0.0000,0.0000
649.2246,0.0000,0.0000
649.6748,0.0000,0.0000
650.1251,0.0000,0.0000
650.5753,0.0000,0.0000
651.0255,0.0000,0.0000
651.4757,0.0000,0.0000
651.9260,0.0000,0.0000
652.3762,0.0000,0.0000
652.8264,0.0000,0.0000
653.2766,0.0000,0.0000
653.7269,0.0000,0.0000
654.1771,0.0000,0.0000
654.6273,0.0000,0.0000
655.0775,0.0000,0.0000
655.5278,0.0000,0.0000
655.9780,0.0000,0.0000
656.4282,0.0000,0.0000
656.8784,0.0000,0.0000
657.3287,0.0000,0.0000
657.7789,0.0000,0.0000
658.2291,0.0000,0.0000
658.6793,0.0000,0.0000
659.1296,0.0000,0.0000
659.5798,0.0000,0.0000
660.0300,0.0000,0.0000
660.4802,0.0000,0.0000
660.9305,0.0000,0.0000
661.3807,0.0000,0.0000
661.8309,0.0000,0.0000
662.2811,0.0000,0.0000
662.7314,0.0000,0.0000
663.1816,0.0000,0.0000
663.6318,0.0000,0.0000
664.0820,0.0000,0.0000
664.5323,0.0000,0.0000
664.9825,0.0000,0.0000
665.4327,0.0000,0.0000
665.8829,0.0000,0.0000
666.3332,0.0000,0.0000
666.7834,0.0000,0.0000
667.2336,0.0000,0.0000
667.6838,0.0000,0.0000
668.1341,0.0000,0.0000
668.5843,0.0000,0.0000
669.0345,0.0000,0.0000
669.4847,0.0000,0.0000
669.9350,0.0000,0.0000
670.3852,0.0000,0.0000
670.8354,0.0000,0.0000
671.2856,0.0000,0.0000
671.7359,0.0000,0.0000
672.1861,0.0000,0.0000
672.6363,0.0000,0.0000
673.0865,0.0000,0.0000
673.5368,0.0000,0.0000
673.9870,0.0000,0.0000
674.4372,0.0000,0.0000
674.8874,0.0000,0.0000
675.3377,0.0000,0.0000
675.7879,0.0000,0.0000
676.2381,0.0000,0.0000
676.6883,0.0000,0.0000
677.1386,0.0000,0.0000
677.5888,0.0000,0.0000
